Symbol,"Expiry
RBLBANK,25-May-23,145.55,2.20,1.53%,"147.35
 								144.85",146.29,"40,000
 								8",58.52,"445,000","10,000
 2.30%"
RECLTD,25-May-23,120.20,-0.40,-0.33%,"121.25
 								120.20",120.90,"40,000
 								5",48.36,"328,000","8,000
 2.50%"
NAUKRI,27-Apr-23,"3,540.40",43.90,1.26%,"3,572.20
 								3,520.00","3,543.50","38,625
 								309","1,368.68","165,250","13,750
 9.08%"
DLF,25-May-23,373.50,0.30,0.08%,"375.85
 								372.60",374.30,"37,950
 								23",142.05,"169,950","9,900
 6.19%"
INDUSTOWER,25-May-23,148.00,-2.30,-1.53%,"150.40
 								148.00",149.22,"36,400
 								13",54.32,"305,200","30,800
 11.22%"
ADANIPORTS,25-May-23,666.35,-10.30,-1.52%,"679.00
 								666.00",671.74,"36,250
 								58",243.51,"402,500","3,750
 0.94%"
DALBHARAT,27-Apr-23,"1,848.10",12.50,0.68%,"1,860.00
 								1,832.00","1,846.29","35,500
 								71",655.43,"46,500","3,500
 8.14%"
POWERGRID,25-May-23,227.25,0.50,0.22%,"227.95
 								225.00",226.78,"35,100
 								13",79.60,"159,300","0
 0.00%"
BOSCHLTD,29-Mar-23,"18,434.85",71.20,0.39%,"18,594.90
 								18,350.00","18,469.65","34,600
 								692","6,390.50","134,300","-50
 -0.04%"
AMBUJACEM,25-May-23,380.00,2.75,0.73%,"383.35
 								377.00",379.73,"34,200
 								19",129.87,"653,400","1,800
 0.28%"
BAJAJFINSV,25-May-23,"1,314.95",24.55,1.90%,"1,331.00
 								1,294.85","1,315.50","34,000
 								68",447.27,"88,500","4,000
 4.73%"
SYNGENE,27-Apr-23,581.10,-2.55,-0.44%,"587.60
 								580.50",583.18,"33,000
 								33",192.45,"97,000","11,000
 12.79%"
TORNTPHARM,27-Apr-23,"1,533.90",4.65,0.30%,"1,535.00
 								1,518.50","1,527.15","32,000
 								64",488.69,"27,000","3,000
 12.50%"
JUBLFOOD,25-May-23,452.95,1.70,0.38%,"454.35
 								443.00",449.55,"31,250
 								25",140.48,"135,000","18,750
 16.13%"
IEX,25-May-23,151.80,-0.50,-0.33%,"152.85
 								151.80",152.24,"30,000
 								8",45.67,"345,000","11,250
 3.37%"
TECHM,25-May-23,"1,116.50",5.65,0.51%,"1,124.00
 								1,112.65","1,117.13","29,400
 								49",328.44,"84,000","-3,600
 -4.11%"
ADANIENT,25-May-23,"1,833.00",-17.05,-0.92%,"1,864.00
 								1,830.00","1,842.84","29,250
 								117",539.03,"3,470,000","5,000
 0.14%"
NAVINFLUOR,27-Apr-23,"4,213.55",6.00,0.14%,"4,230.20
 								4,190.60","4,209.95","29,100
 								194","1,225.10","126,150","9,900
 8.52%"
NESTLEIND,29-Mar-23,"18,900.55",-43.35,-0.23%,"18,979.00
 								18,804.45","18,885.33","28,440
 								711","5,370.99","199,040","-6,160
 -3.00%"
RAIN,25-May-23,157.40,1.10,0.70%,"158.60
 								157.40",158.20,"28,000
 								8",44.30,"94,500","3,500
 3.85%"
BRITANNIA,27-Apr-23,"4,261.30",-33.25,-0.77%,"4,291.75
 								4,260.00","4,275.31","27,200
 								136","1,162.88","92,400","7,600
 8.96%"
ALKEM,27-Apr-23,"3,217.00",88.95,2.84%,"3,231.60
 								3,140.00","3,198.55","26,400
 								132",844.42,"17,000","10,600
 165.63%"
BPCL,25-May-23,356.90,-5.00,-1.38%,"358.50
 								356.90",357.56,"25,200
 								14",90.11,"70,200","-1,800
 -2.50%"
VOLTAS,25-May-23,854.05,3.95,0.46%,"859.00
 								846.50",851.28,"25,200
 								42",214.52,"79,800","0
 0.00%"
MUTHOOTFIN,25-May-23,953.90,-0.65,-0.07%,"957.00
 								952.95",954.25,"24,200
 								44",230.93,"122,650","0
 0.00%"
TCS,25-May-23,"3,168.70",19.10,0.61%,"3,176.95
 								3,149.20","3,162.30","23,100
 								132",730.49,"336,175","5,600
 1.69%"
OFSS,27-Apr-23,"3,240.75",40.10,1.25%,"3,242.95
 								3,210.10","3,224.06","21,000
 								105",677.05,"17,400","3,400
 24.29%"
PEL,25-May-23,685.35,-5.95,-0.86%,"698.95
 								683.00",688.77,"20,350
 								37",140.16,"140,250","2,200
 1.59%"
UBL,27-Apr-23,"1,450.55",6.55,0.45%,"1,455.00
 								1,441.60","1,448.42","19,600
 								49",283.89,"48,000","3,600
 8.11%"
KOTAKBANK,25-May-23,"1,729.40",-4.45,-0.26%,"1,734.00
 								1,720.00","1,727.65","19,200
 								48",331.71,"74,000","6,000
 8.82%"
HCLTECH,25-May-23,"1,080.50",-8.05,-0.74%,"1,102.90
 								1,080.50","1,087.22","18,900
 								27",205.48,"104,300","14,000
 15.50%"
EXIDEIND,25-May-23,180.95,0.45,0.25%,"181.75
 								180.95",181.57,"18,000
 								5",32.68,"136,800","3,600
 2.70%"
LICHSGFIN,25-May-23,345.00,-4.05,-1.16%,"347.80
 								345.00",346.30,"18,000
 								9",62.33,"78,000","16,000
 25.81%"
PETRONET,25-May-23,235.25,-2.55,-1.07%,"235.95
 								235.10",235.40,"18,000
 								6",42.37,"99,000","-6,000
 -5.71%"
APOLLOTYRE,25-May-23,319.00,-2.50,-0.78%,"319.35
 								318.90",319.07,"17,500
 								5",55.84,"70,000","7,000
 11.11%"
INDHOTEL,25-May-23,320.15,-3.40,-1.05%,"324.30
 								320.15",323.28,"16,000
 								8",51.72,"96,000","14,000
 17.07%"
IBULHSGFIN,27-Apr-23,101.80,0.05,0.05%,"101.80
 								100.70",101.07,"16,000
 								4",16.17,"5,796,000","-16,000
 -0.28%"
SHREECEM,27-Apr-23,"25,125.05",302.25,1.22%,"25,350.00
 								24,760.40","25,142.30","15,875
 								635","3,991.34","40,425","7,200
 21.67%"
SBICARD,25-May-23,726.00,4.85,0.67%,"728.50
 								721.50",724.84,"15,200
 								19",110.18,"68,000","-1,600
 -2.30%"
AUROPHARMA,25-May-23,485.80,9.70,2.04%,"486.00
 								475.10",480.29,"15,000
 								15",72.04,"58,000","-3,000
 -4.92%"
CUB,25-May-23,130.90,0.45,0.34%,"130.90
 								130.00",130.31,"15,000
 								3",19.55,"290,000","0
 0.00%"
PAGEIND,29-Mar-23,"38,624.95",318.20,0.83%,"38,793.40
 								38,324.95","38,586.98","14,415
 								961","5,562.31","124,755","-855
 -0.68%"
HINDCOPPER,25-May-23,99.55,-0.40,-0.40%,"99.60
 								99.55",99.58,"14,400
 								3",14.34,"187,200","4,800
 2.63%"
ABBOTINDIA,29-Mar-23,"21,540.00",216.60,1.02%,"21,724.00
 								21,243.10","21,507.22","14,200
 								355","3,054.03","44,480","-1,080
 -2.37%"
M&M,25-May-23,"1,182.75",1.75,0.15%,"1,198.15
 								1,181.00","1,188.22","14,000
 								20",166.35,"56,000","4,200
 8.11%"
JINDALSTEL,25-May-23,566.05,-0.90,-0.16%,"572.50
 								565.35",569.29,"13,750
 								11",78.28,"126,250","0
 0.00%"
LT,25-May-23,"2,234.00",-4.40,-0.20%,"2,266.00
 								2,234.00","2,252.18","13,200
 								44",297.29,"30,000","1,200
 4.17%"
BAJFINANCE,25-May-23,"5,905.00",108.95,1.88%,"5,933.20
 								5,831.55","5,890.64","13,000
 								104",765.78,"44,375","-750
 -1.66%"
TVSMOTOR,25-May-23,"1,057.00",2.00,0.19%,"1,075.90
 								1,057.00","1,067.05","12,600
 								18",134.45,"14,700","2,100
 16.67%"
BSOFT,25-May-23,276.20,3.15,1.15%,"277.80
 								275.15",276.47,"12,000
 								6",33.18,"38,000","0
 0.00%"
HDFCAMC,25-May-23,"1,798.75",14.00,0.78%,"1,803.00
 								1,780.65","1,794.15","11,700
 								39",209.92,"25,800","-1,800
 -6.52%"
ABCAPITAL,25-May-23,158.90,3.60,2.32%,"158.90
 								158.90",158.90,"10,800
 								2",17.16,"43,200","-5,400
 -11.11%"
HINDPETRO,25-May-23,248.05,1.55,0.63%,"248.85
 								247.00",248.05,"10,800
 								4",26.79,"56,700","0
 0.00%"
JSWSTEEL,25-May-23,671.20,-2.80,-0.42%,"679.00
 								670.00",672.01,"10,800
 								8",72.58,"45,900","0
 0.00%"
TATACONSUM,25-May-23,717.05,3.55,0.50%,"726.00
 								717.00",722.52,"10,800
 								12",78.03,"30,600","-2,700
 -8.11%"
ABFRL,25-May-23,220.00,-1.00,-0.45%,"222.75
 								220.00",221.57,"10,400
 								4",23.04,"119,600","2,600
 2.22%"
ATUL,29-Mar-23,"7,018.95",-42.80,-0.61%,"7,094.35
 								7,006.85","7,038.65","10,200
 								136",717.94,"149,625","450
 0.30%"
BERGEPAINT,25-May-23,589.00,-5.50,-0.93%,"597.00
 								589.00",594.74,"8,800
 								8",52.34,"34,100","4,400
 14.81%"
MGL,25-May-23,990.00,-9.40,-0.94%,"995.90
 								989.95",991.68,"8,800
 								11",87.27,"41,600","-2,400
 -5.45%"
LUPIN,25-May-23,671.80,9.25,1.40%,"671.80
 								661.20",667.16,"8,500
 								10",56.71,"29,750","1,700
 6.06%"
IGL,25-May-23,440.50,-5.50,-1.23%,"444.00
 								440.50",442.40,"8,250
 								6",36.50,"26,125","2,750
 11.76%"
BOSCHLTD,27-Apr-23,"18,432.85",29.55,0.16%,"18,624.85
 								18,379.00","18,492.82","7,750
 								155","1,433.19","11,500","2,550
 28.49%"
BHARTIARTL,25-May-23,768.55,-0.55,-0.07%,"769.50
 								765.65",767.96,"7,600
 								8",58.36,"39,900","1,900
 5.00%"
MPHASIS,25-May-23,"1,813.00",0.75,0.04%,"1,836.60
 								1,813.00","1,827.16","7,425
 								27",135.67,"19,800","2,200
 12.50%"
ZYDUSLIFE,25-May-23,485.60,0.65,0.13%,"485.60
 								483.30",484.65,"7,200
 								4",34.89,"84,600","1,800
 2.17%"
CUMMINSIND,25-May-23,"1,622.20",-12.85,-0.79%,"1,646.95
 								1,619.50","1,624.77","7,200
 								12",116.98,"47,400","-5,400
 -10.23%"
SHRIRAMFIN,25-May-23,"1,277.90",11.90,0.94%,"1,281.95
 								1,277.90","1,278.78","7,200
 								12",92.07,"8,400","6,000
 250.00%"
NESTLEIND,27-Apr-23,"18,922.40",-33.10,-0.17%,"18,988.60
 								18,840.70","18,900.36","7,080
 								177","1,338.15","12,880","2,320
 21.97%"
HONAUT,29-Mar-23,"35,566.10",96.60,0.27%,"36,060.00
 								35,050.00","35,643.53","7,020
 								468","2,502.18","20,385","-735
 -3.48%"
AUBANK,25-May-23,569.55,-1.20,-0.21%,"575.00
 								569.55",572.70,"7,000
 								7",40.09,"20,000","-1,000
 -4.76%"
HINDUNILVR,25-May-23,"2,517.85",13.00,0.52%,"2,517.85
 								2,495.35","2,507.89","6,900
 								23",173.04,"10,500","-2,700
 -20.45%"
GODREJPROP,25-May-23,"1,102.95",-13.05,-1.17%,"1,107.40
 								1,100.00","1,102.37","6,800
 								16",74.96,"16,575","2,975
 21.88%"
LTTS,25-May-23,"3,328.25",-38.80,-1.15%,"3,405.90
 								3,328.00","3,351.39","6,600
 								33",221.19,"17,800","2,800
 18.67%"
SIEMENS,25-May-23,"3,348.95",-4.70,-0.14%,"3,378.25
 								3,318.00","3,338.77","6,325
 								23",211.18,"51,425","1,100
 2.19%"
ICICIPRULI,25-May-23,433.80,11.80,2.80%,"434.00
 								431.75",433.13,"6,000
 								4",25.99,"34,500","6,000
 21.05%"
INDIACEM,25-May-23,184.80,0.85,0.46%,"184.90
 								184.80",184.85,"5,800
 								2",10.72,"46,400","2,900
 6.67%"
TITAN,25-May-23,"2,540.75",-11.25,-0.44%,"2,554.60
 								2,529.00","2,539.11","5,625
 								15",142.82,"21,750","0
 0.00%"
DELTACORP,25-May-23,197.90,0.15,0.08%,"199.00
 								197.90",198.45,"5,600
 								2",11.11,"53,200","-2,800
 -5.00%"
LAURUSLABS,25-May-23,309.10,1.90,0.62%,"310.00
 								308.00",309.08,"5,500
 								5",17.00,"95,700","5,500
 6.10%"
MFSL,25-May-23,651.00,11.00,1.72%,"660.00
 								648.00",655.36,"5,200
 								8",34.08,"3,250","650
 25.00%"
UPL,25-May-23,725.90,5.70,0.79%,"726.00
 								721.80",724.91,"5,200
 								4",37.70,"53,300","-1,300
 -2.38%"
SRF,25-May-23,"2,410.00",19.45,0.81%,"2,410.00
 								2,393.55","2,405.83","4,875
 								13",117.28,"9,750","-2,250
 -18.75%"
CROMPTON,25-May-23,295.45,-3.05,-1.02%,"297.70
 								295.45",296.31,"4,500
 								3",13.33,"54,000","1,500
 2.86%"
ASIANPAINT,25-May-23,"2,882.10",-2.25,-0.08%,"2,893.90
 								2,861.00","2,879.90","4,400
 								22",126.72,"20,000","1,600
 8.70%"
IRCTC,25-May-23,615.55,0.20,0.03%,"617.65
 								615.55",616.84,"4,375
 								5",26.99,"63,875","2,625
 4.29%"
MCDOWELL-N,25-May-23,785.20,9.20,1.19%,"788.30
 								785.00",786.42,"4,375
 								7",34.41,"50,000","1,250
 2.56%"
GLENMARK,25-May-23,441.40,-3.75,-0.84%,"441.40
 								439.50",440.76,"4,350
 								3",19.17,"33,350","0
 0.00%"
ATUL,27-Apr-23,"7,040.00",-49.95,-0.70%,"7,119.00
 								7,030.35","7,066.98","3,975
 								53",280.91,"5,550","600
 12.12%"
LTIM,25-May-23,"4,712.00",-12.65,-0.27%,"4,825.00
 								4,704.00","4,743.42","3,900
 								26",184.99,"7,350","1,950
 36.11%"
ONGC,25-May-23,154.10,0.65,0.42%,"154.10
 								154.10",154.10,"3,850
 								1",5.93,"103,950","3,850
 3.85%"
MRF,29-Mar-23,"84,450.00",489.60,0.58%,"84,637.55
 								83,769.70","84,302.54","3,800
 								380","3,203.50","49,390","-1,240
 -2.45%"
CHOLAFIN,25-May-23,760.25,-5.30,-0.69%,"769.15
 								760.20",763.20,"3,750
 								3",28.62,"10,000","2,500
 33.33%"
ABBOTINDIA,27-Apr-23,"21,578.60",204.55,0.96%,"21,777.65
 								21,350.00","21,591.00","3,720
 								93",803.19,"2,760","1,000
 56.82%"
MARICO,25-May-23,489.90,2.00,0.41%,"489.90
 								488.75",488.96,"3,600
 								3",17.60,"10,800","0
 0.00%"
AARTIIND,25-May-23,524.50,-4.55,-0.86%,"525.50
 								524.35",524.71,"3,400
 								4",17.84,"28,900","1,700
 6.25%"
ULTRACEMCO,25-May-23,"7,474.40",27.10,0.36%,"7,530.00
 								7,452.50","7,488.19","3,100
 								31",232.13,"6,200","1,300
 26.53%"
CONCOR,25-May-23,603.50,0.50,0.08%,"605.00
 								603.50",604.40,"3,000
 								3",18.13,"37,000","3,000
 8.82%"
MCX,25-May-23,"1,526.30",24.95,1.66%,"1,541.00
 								1,526.30","1,536.35","2,800
 								7",43.02,"6,000","1,600
 36.36%"
HAL,25-May-23,"2,668.00",-28.20,-1.05%,"2,696.20
 								2,660.05","2,679.58","2,700
 								9",72.35,"44,700","600
 1.36%"
HEROMOTOCO,25-May-23,"2,387.00",4.00,0.17%,"2,397.05
 								2,387.00","2,390.75","2,700
 								9",64.55,"12,000","-600
 -4.76%"
GUJGASLTD,25-May-23,505.00,0.00,0.00%,"505.00
 								505.00",505.00,"2,500
 								2",12.63,"7,500","1,250
 20.00%"
PIDILITIND,25-May-23,"2,413.20",8.65,0.36%,"2,425.95
 								2,401.00","2,408.12","2,500
 								10",60.20,"8,750","500
 6.06%"
HONAUT,27-Apr-23,"35,817.40",150.15,0.42%,"36,398.25
 								35,394.10","35,861.31","2,445
 								163",876.81,"2,445","195
 8.67%"
MARUTI,25-May-23,"8,369.80",9.80,0.12%,"8,400.00
 								8,350.00","8,366.50","2,300
 								23",192.43,"5,600","800
 16.67%"
SBILIFE,25-May-23,"1,133.70",33.70,3.06%,"1,133.70
 								1,112.25","1,126.55","2,250
 								3",25.35,"3,750","1,500
 66.67%"
FINNIFTY,25-Apr-23,"17,963.40",26.90,0.15%,"18,019.90
 								17,870.30","17,959.79","2,160
 								43",387.93,"3,200","880
 37.93%"
SUNPHARMA,25-May-23,982.00,12.95,1.34%,"982.00
 								971.85",977.71,"2,100
 								3",20.53,"10,500","700
 7.14%"
APOLLOHOSP,25-May-23,"4,340.90",-28.10,-0.64%,"4,340.90
 								4,270.35","4,305.73","2,000
 								16",86.11,"2,750","625
 29.41%"
LALPATHLAB,25-May-23,"1,814.35",19.80,1.10%,"1,829.25
 								1,814.35","1,820.46","2,000
 								8",36.41,"9,250","-750
 -7.50%"
TATACHEM,25-May-23,973.25,3.25,0.34%,"976.90
 								973.25",975.18,"2,000
 								4",19.50,"27,500","1,000
 3.77%"
UBL,25-May-23,"1,450.00",-8.70,-0.60%,"1,450.00
 								1,450.00","1,450.00","2,000
 								5",29.00,"4,000","2,000
 100.00%"
DIVISLAB,25-May-23,"2,833.40",18.40,0.65%,"2,833.40
 								2,818.25","2,826.68","1,950
 								13",55.12,"15,300","450
 3.03%"
PERSISTENT,25-May-23,"4,479.45",14.75,0.33%,"4,501.60
 								4,458.00","4,478.77","1,925
 								11",86.22,"4,725","0
 0.00%"
GRASIM,25-May-23,"1,633.65",43.65,2.75%,"1,633.65
 								1,633.65","1,633.65","1,900
 								4",31.04,"4,750","2,375
 100.00%"
POLYCAB,25-May-23,"2,855.00",12.50,0.44%,"2,874.00
 								2,855.00","2,864.11","1,800
 								6",51.55,"6,000","300
 5.26%"
PAGEIND,27-Apr-23,"38,775.00",259.60,0.67%,"39,000.00
 								38,607.50","38,828.10","1,755
 								117",681.43,"7,065","150
 2.17%"
ACC,25-May-23,"1,764.95",4.50,0.26%,"1,765.10
 								1,756.70","1,760.06","1,750
 								7",30.80,"22,500","0
 0.00%"
BAJAJ-AUTO,25-May-23,"3,926.00",4.40,0.11%,"3,926.00
 								3,901.90","3,913.54","1,750
 								7",68.49,"7,750","250
 3.33%"
EICHERMOT,25-May-23,"2,991.30",7.70,0.26%,"3,009.30
 								2,976.20","3,002.46","1,750
 								10",52.54,"8,575","875
 11.36%"
CHAMBLFERT,25-May-23,276.00,1.05,0.38%,"276.00
 								276.00",276.00,"1,500
 								1",4.14,"36,000","1,500
 4.35%"
INDIGO,25-May-23,"1,917.00",27.30,1.44%,"1,917.00
 								1,904.75","1,912.08","1,500
 								5",28.68,"8,100","0
 0.00%"
DALBHARAT,25-May-23,"1,852.95",-76.30,-3.95%,"1,852.95
 								1,852.40","1,852.58","1,500
 								3",27.79,"1,500","1,500
 0.00%"
SUNTV,25-May-23,443.50,8.95,2.06%,"443.50
 								443.50",443.50,"1,500
 								1",6.65,"10,500","0
 0.00%"
INDIAMART,25-May-23,"4,940.00",-61.15,-1.22%,"5,037.00
 								4,940.00","4,982.65","1,350
 								9",67.27,"3,150","300
 10.53%"
GNFC,25-May-23,543.30,-0.70,-0.13%,"543.30
 								543.30",543.30,"1,300
 								1",7.06,"26,000","0
 0.00%"
ABB,25-May-23,"3,318.00",-84.95,-2.50%,"3,325.00
 								3,318.00","3,321.00","1,250
 								5",41.51,"6,250","250
 4.17%"
MRF,27-Apr-23,"84,180.40",410.15,0.49%,"84,400.00
 								83,679.30","84,064.47","1,190
 								119","1,000.37","6,080","280
 4.83%"
ASTRAL,25-May-23,"1,355.30",25.30,1.90%,"1,355.30
 								1,350.00","1,353.01","1,101
 								4",14.90,"9,175","1,101
 13.64%"
BHARATFORG,25-May-23,791.90,0.90,0.11%,"791.90
 								791.90",791.90,"1,000
 								1",7.92,"13,000","1,000
 8.33%"
BATAINDIA,25-May-23,"1,435.05",4.05,0.28%,"1,435.50
 								1,435.00","1,435.18","825
 								3",11.84,"17,875","275
 1.56%"
BRITANNIA,25-May-23,"4,275.00",-32.55,-0.76%,"4,300.00
 								4,275.00","4,290.00","800
 								4",34.32,"6,400","-200
 -3.03%"
DEEPAKNTR,25-May-23,"1,823.00",11.20,0.62%,"1,826.00
 								1,822.00","1,823.66","750
 								3",13.68,"16,250","750
 4.84%"
IPCALAB,25-May-23,780.90,-8.10,-1.03%,"780.90
 								780.90",780.90,"650
 								1",5.08,"5,200","650
 14.29%"
DRREDDY,25-May-23,"4,530.00",36.95,0.82%,"4,530.00
 								4,503.00","4,524.60","625
 								5",28.28,"3,875","-375
 -8.82%"
DIXON,25-May-23,"2,916.85",-13.90,-0.47%,"2,940.00
 								2,908.55","2,924.44","625
 								5",18.28,"8,250","125
 1.54%"
HDFC,25-May-23,"2,611.50",-8.85,-0.34%,"2,611.50
 								2,603.45","2,607.47","600
 								2",15.64,"15,900","300
 1.92%"
COFORGE,25-May-23,"3,752.75",-28.40,-0.75%,"3,777.35
 								3,752.75","3,768.53","600
 								4",22.61,"6,000","300
 5.26%"
NAVINFLUOR,25-May-23,"4,205.00",-12.95,-0.31%,"4,213.40
 								4,202.85","4,208.66","600
 								4",25.25,"1,650","600
 57.14%"
ICICIGI,25-May-23,"1,098.00",-11.80,-1.06%,"1,098.00
 								1,098.00","1,098.00","425
 								1",4.67,"2,975","425
 16.67%"
PVR,25-May-23,"1,581.50",1.45,0.09%,"1,581.50
 								1,581.50","1,581.50","407
 								1",6.44,"15,466","0
 0.00%"
ALKEM,25-May-23,"3,180.00",-8.90,-0.28%,"3,180.00
 								3,175.00","3,177.50","400
 								2",12.71,800,"400
 100.00%"
NAUKRI,25-May-23,"3,542.00",32.00,0.91%,"3,560.00
 								3,542.00","3,550.66","375
 								3",13.31,"2,500","-125
 -4.76%"
ESCORTS,25-May-23,"1,899.35",-5.65,-0.30%,"1,899.35
 								1,899.35","1,899.35","275
 								1",5.22,"4,950","275
 5.88%"
FINNIFTY,30-May-23,"18,045.05",236.35,1.33%,"18,179.85
 								18,045.05","18,076.43","240
 								5",43.38,480,"80
 20.00%"
ABBOTINDIA,25-May-23,"21,700.00",620.00,2.94%,"21,700.00
 								21,600.00","21,633.33","120
 								3",25.96,200,"120
 150.00%"
PAGEIND,25-May-23,"39,110.00",98.25,0.25%,"39,110.00
 								38,789.65","38,986.45","60
 								4",23.39,285,"0
 0.00%"
NESTLEIND,25-May-23,"19,086.20",-114.80,-0.60%,"19,086.20
 								19,086.20","19,086.20","40
 								1",7.63,400,"40
 11.11%"
MRF,25-May-23,"83,879.65",79.65,0.10%,"83,879.65
 								83,879.65","83,879.65","10
 								1",8.39,370,"10
 2.78%"
